question_id,question_type,is_abstention,question,answer,bucket_A_B_C,notes
db467c8c,knowledge-update,,How long have my parents been staying with me in the US?,nine months,,
7a87bd0c,knowledge-update,,How long have I been sticking to my daily tidying routine?,4 weeks,,
e61a7584,knowledge-update,,"How long have I had my cat, Luna?",9 months,,
1cea1afa,knowledge-update,,How many Instagram followers do I currently have?,600,,
ed4ddc30,knowledge-update,,How many dozen eggs do we currently have stocked up in our refrigerator?,20,,
8fb83627,knowledge-update,,How many issues of National Geographic have I finished reading?,Five,,
b01defab,knowledge-update,,Did I finish reading 'The Nightingale' by Kristin Hannah?,Yes,,
22d2cb42,knowledge-update,,Where did I get my guitar serviced?,The music shop on Main St.,,
0e4e4c46,knowledge-update,,What is my current highest score in Ticket to Ride?,132 points,,
4b24c848,knowledge-update,,How many tops have I bought from H&M so far?,five,,
7e974930,knowledge-update,,How much did I earn at the Downtown Farmers Market on my most recent visit?,$420,,
603deb26,knowledge-update,,How many times have I tried making a Negroni at home since my friend Emma showed me how to make it?,10,,
59524333,knowledge-update,,What time do I usually go to the gym?,6:00 pm,,
5831f84d,knowledge-update,,How many Crash Course videos have I watched in the past few weeks?,15,,
eace081b,knowledge-update,,Where am I planning to stay for my birthday trip to Hawaii?,Oahu,,
affe2881,knowledge-update,,How many different species of birds have I seen in my local park?,32,,
50635ada,knowledge-update,,What was my previous frequent flyer status on United Airlines before I got the current status?,Premier Silver,,
e66b632c,knowledge-update,,What was my previous personal best time for the charity 5K run?,27 minutes and 45 seconds,,
0ddfec37,knowledge-update,,How many autographed baseballs have I added to my collection in the first three months of collection?,15,,
f685340e,knowledge-update,,How often do I play tennis with my friends at the local park previously? How often do I play now?,"Previously, you play tennis with your friends at the local park every week (on Sunday). Currently, you play tennis every other week (on Sunday).",,
cc5ded98,knowledge-update,,How much time do I dedicate to coding exercises each day?,about two hours,,
dfde3500,knowledge-update,,What day of the week did I meet with my previous language exchange tutor Juan?,Wednesday,,
69fee5aa,knowledge-update,,How many pre-1920 American coins do I have in my collection?,38,,
7401057b,knowledge-update,,How many free night's stays can I redeem at any Hilton property with my accumulated points?,Two,,
cf22b7bf,knowledge-update,,How much weight have I lost since I started going to the gym consistently?,10 pounds,,
a2f3aa27,knowledge-update,,How many followers do I have on Instagram now?,1300,,
c7dc5443,knowledge-update,,What is my current record in the recreational volleyball league?,5-2,,
06db6396,knowledge-update,,How many projects have I completed since starting painting classes?,5,,
3ba21379,knowledge-update,,What type of vehicle model am I currently working on?,Ford F-150 pickup truck,,
9bbe84a2,knowledge-update,,What was my previous goal for my Apex Legends level before I updated my goal?,level 100,,
10e09553,knowledge-update,,How many largemouth bass did I catch with Alex on the earlier fishing trip to Lake Michigan before the 7/22 trip?,7,,
dad224aa,knowledge-update,,What time do I wake up on Saturday mornings?,7:30 am,,
ba61f0b9,knowledge-update,,How many women are on the team led by my former manager Rachel?,6,,
42ec0761,knowledge-update,,Do I have a spare screwdriver for opening up my laptop?,Yes,,
5c40ec5b,knowledge-update,,How many times have I met up with Alex from Germany?,We've met up twice.,,
c6853660,knowledge-update,,Did I mostly recently increase or decrease the limit on the number of cups of coffee in the morning?,You increased the limit (from one cup to two cups),,
26bdc477,knowledge-update,,How many trips have I taken my Canon EOS 80D camera on?,five,,
0977f2af,knowledge-update,,What new kitchen gadget did I invest in before getting the Air Fryer?,Instant Pot,,
6aeb4375_abs,knowledge-update,yes,How many Italian restaurants have I tried in my city?,The information provided is not enough. You mentioned trying Korean restaurants but not Italian restaurants.,,
031748ae_abs,knowledge-update,yes,How many engineers do I lead when I just started my new role as Software Engineer Manager?,The information provided is not enough. You mentioned starting the role as Senior Software Engineer but not Software Engineer Manager.,,
2698e78f_abs,knowledge-update,yes,How often do I see Dr. Johnson?,The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,,
2133c1b5_abs,knowledge-update,yes,How long have I been living in my current apartment in Shinjuku?,The information provided is not enough. You mentioned living in Harajuku but not Shinjuku.,,
0ddfec37_abs,knowledge-update,yes,How many autographed football have I added to my collection in the first three months of collection?,The information provided is not enough. You mentioned collecting autographed baseball but not football.,,
f685340e_abs,knowledge-update,yes,How often do I play table tennis with my friends at the local park?,The information provided is not enough. You mentioned playing tennis but not table tennis.,,
89941a94,knowledge-update,,"Before I purchased the gravel bike, do I have other bikes in addition to my mountain bike and my commuter bike?",Yes. (You have a road bike too.),,
07741c45,knowledge-update,,Where do I currently keep my old sneakers?,in a shoe rack in my closet,,
gpt4_59149c77,temporal-reasoning,,How many days passed between my visit to the Museum of Modern Art (MoMA) and the 'Ancient Civilizations' exhibit at the Metropolitan Museum of Art?,7 days. 8 days (including the last day) is also acceptable.,,
gpt4_f49edff3,temporal-reasoning,,"Which three events happened in the order from first to last: the day I helped my friend prepare the nursery, the day I helped my cousin pick out stuff for her baby shower, and the day I ordered a customized phone case for my friend's birthday?","First, I helped my friend prepare the nursery, then I helped my cousin pick out stuff for her baby shower, and lastly, I ordered a customized phone case for my friend's birthday.",,
71017276,temporal-reasoning,,How many weeks ago did I meet up with my aunt and receive the crystal chandelier?,4,,
b46e15ed,temporal-reasoning,,"How many months have passed since I participated in two charity events in a row, on consecutive days?",2,,
gpt4_fa19884c,temporal-reasoning,,How many days passed between the day I started playing along to my favorite songs on my old keyboard and the day I discovered a bluegrass band?,6 days. 7 days (including the last day) is also acceptable.,,
0bc8ad92,temporal-reasoning,,How many months have passed since I last visited a museum with a friend?,5,,
af082822,temporal-reasoning,,How many weeks ago did I attend the friends and family sale at Nordstrom?,2,,
gpt4_4929293a,temporal-reasoning,,"Which event happened first, my cousin's wedding or Michael's engagement party?",Michael's engagement party,,
gpt4_b5700ca9,temporal-reasoning,,How many days ago did I attend the Maundy Thursday service at the Episcopal Church?,4 days.,,
9a707b81,temporal-reasoning,,How many days ago did I attend a baking class at a local culinary school when I made my friend's birthday cake?,21 days. 22 days (including the last day) is also acceptable.,,
gpt4_1d4ab0c9,temporal-reasoning,,How many days passed between the day I started watering my herb garden and the day I harvested my first batch of fresh herbs?,24 days. 25 days (including the last day) is also acceptable.,,
gpt4_e072b769,temporal-reasoning,,How many weeks ago did I start using the cashback app 'Ibotta'?,3 weeks ago,,
0db4c65d,temporal-reasoning,,"How many days had passed since I finished reading 'The Seven Husbands of Evelyn Hugo' when I attended the book reading event at the local library, where the author of 'The Silent Patient' is discussing her latest thriller novel?",18 days. 19 days (including the last day) is also acceptable.,,
gpt4_1d80365e,temporal-reasoning,,How many days did I spend on my solo camping trip to Yosemite National Park?,2 days. 3 days (including the last day) is also acceptable.,,
gpt4_7f6b06db,temporal-reasoning,,"What is the order of the three trips I took in the past three months, from earliest to latest?","I went on a day hike to Muir Woods National Monument with my family, then I went on a road trip with friends to Big Sur and Monterey, and finally I started my solo camping trip to Yosemite National Park.",,
gpt4_6dc9b45b,temporal-reasoning,,How many months ago did I attend the Seattle International Film Festival?,4 months ago,,
gpt4_8279ba02,temporal-reasoning,,How many days ago did I buy a smoker?,10 days ago. 11 days (including the last day) is also acceptable.,,
gpt4_18c2b244,temporal-reasoning,,"What is the order of the three events: 'I signed up for the rewards program at ShopRite', 'I used a Buy One Get One Free coupon on Luvs diapers at Walmart', and 'I redeemed $12 cashback for a $10 Amazon gift card from Ibotta'?","First, I used a Buy One Get One Free coupon on Luvs diapers at Walmart. Then, I redeemed $12 cashback for a $10 Amazon gift card from Ibotta. Finally, I signed up for the rewards program at ShopRite.",,
gpt4_a1b77f9c,temporal-reasoning,,How many weeks in total do I spent on reading 'The Nightingale' and listening to 'Sapiens: A Brief History of Humankind' and 'The Power'?,"2 weeks for 'The Nightingale', 4 weeks for 'Sapiens: A Brief History of Humankind', and 2 weeks for 'The Power', so a total of 8 weeks.",,
gpt4_1916e0ea,temporal-reasoning,,How many days passed between the day I cancelled my FarmFresh subscription and the day I did my online grocery shopping from Instacart?,54 days. 55 days (including the last day) is also acceptable.,,
gpt4_7a0daae1,temporal-reasoning,,How many weeks passed between the day I bought my new tennis racket and the day I received it?,1 week,,
gpt4_468eb063,temporal-reasoning,,How many days ago did I meet Emma?,9 days ago. 10 days (including the last day) is also acceptable.,,
gpt4_7abb270c,temporal-reasoning,,What is the order of the six museums I visited from earliest to latest?,"Science Museum, Museum of Contemporary Art, Metropolitan Museum of Art, Museum of History, Modern Art Museum, Natural History Museum",,
gpt4_1e4a8aeb,temporal-reasoning,,How many days passed between the day I attended the gardening workshop and the day I planted the tomato saplings?,6 days. 7 days (including the last day) is also acceptable.,,
gpt4_4fc4f797,temporal-reasoning,,How many days passed between the day I received feedback about my car's suspension and the day I tested my new suspension setup?,38 days. 39 days (including the last day) is also acceptable.,,
4dfccbf7,temporal-reasoning,,How many days had passed since I started taking ukulele lessons when I decided to take my acoustic guitar to the guitar tech for servicing?,24 days. 25 days (including the last day) is also acceptable.,,
gpt4_61e13b3c,temporal-reasoning,,How many weeks passed between the time I sold homemade baked goods at the Farmers' Market for the last time and the time I participated in the Spring Fling Market?,3 weeks,,
gpt4_45189cb4,temporal-reasoning,,What is the order of the sports events I watched in January?,"First, I attended a NBA game at the Staples Center, then I watched the College Football National Championship game, and finally, I watched the NFL playoffs.",,
2ebe6c90,temporal-reasoning,,How many days did it take me to finish 'The Nightingale' by Kristin Hannah?,21 days. 22 days (including the last day) is also acceptable.,,
gpt4_e061b84f,temporal-reasoning,,"What is the order of the three sports events I participated in during the past month, from earliest to latest?","I first completed the Spring Sprint Triathlon, then took part in the Midsummer 5K Run, and finally participated in the company's annual charity soccer tournament.",,
370a8ff4,temporal-reasoning,,How many weeks had passed since I recovered from the flu when I went on my 10th jog outdoors?,15,,
gpt4_d6585ce8,temporal-reasoning,,"What is the order of the concerts and musical events I attended in the past two months, starting from the earliest?","The order of the concerts I attended is: 1. Billie Eilish concert at the Wells Fargo Center in Philly, 2. Free outdoor concert series in the park, 3. Music festival in Brooklyn, 4. Jazz night at a local bar, 5. Queen + Adam Lambert concert at the Prudential Center in Newark, NJ.",,
gpt4_4ef30696,temporal-reasoning,,How many days passed between the day I finished reading 'The Nightingale' and the day I started reading 'The Hitchhiker's Guide to the Galaxy'?,1 day. 2 days (including the last day) is also acceptable.,,
gpt4_ec93e27f,temporal-reasoning,,"Which mode of transport did I use most recently, a bus or a train?",train,,
6e984301,temporal-reasoning,,How many weeks have I been taking sculpting classes when I invested in my own set of sculpting tools?,3,,
8077ef71,temporal-reasoning,,How many days ago did I attend a networking event?,26 days. 27 days (including the last day) is also acceptable.,,
gpt4_f420262c,temporal-reasoning,,What is the order of airlines I flew with from earliest to latest before today?,"JetBlue, Delta, United, American Airlines",,
gpt4_8e165409,temporal-reasoning,,"How many days passed between the day I repotted the previous spider plant and the day I gave my neighbor, Mrs. Johnson, a few cuttings from my spider plant?",14 days. 15 days (including the last day) is also acceptable.,,
gpt4_74aed68e,temporal-reasoning,,How many days passed between the day I replaced my spark plugs and the day I participated in the Turbocharged Tuesdays auto racking event?,29 days. 30 days (including the last day) is also acceptable.,,
bcbe585f,temporal-reasoning,,How many weeks ago did I attend a bird watching workshop at the local Audubon society?,4,,
gpt4_21adecb5,temporal-reasoning,,How many months passed between the completion of my undergraduate degree and the submission of my master's thesis?,6 months,,
5e1b23de,temporal-reasoning,,How many months ago did I attend the photography workshop?,3,,
gpt4_98f46fc6,temporal-reasoning,,"Which event did I participate in first, the charity gala or the charity bake sale?",I participated in the charity bake sale first.,,
gpt4_af6db32f,temporal-reasoning,,How many days ago did I watch the Super Bowl?,17 days ago. 18 days (including the last day) is also acceptable.,,
eac54adc,temporal-reasoning,,How many days ago did I launch my website when I signed a contract with my first client?,19 days ago. 20 days (including the last day) is also acceptable.,,
gpt4_7ddcf75f,temporal-reasoning,,How many days ago did I go on a whitewater rafting trip in the Oregon mountains?,3 days ago. 4 days (including the last day) is also acceptable.,,
gpt4_a2d1d1f6,temporal-reasoning,,How many days ago did I harvest my first batch of fresh herbs from the herb garden kit?,3 days ago. 4 days (including the last day) is also acceptable.,,
gpt4_85da3956,temporal-reasoning,,How many weeks ago did I attend the 'Summer Nights' festival at Universal Studios Hollywood?,3 weeks ago,,
gpt4_b0863698,temporal-reasoning,,How many days ago did I participate in the 5K charity run?,7 days ago. 8 days (including the last day) is also acceptable.,,
gpt4_68e94287,temporal-reasoning,,"Which event happened first, my participation in the #PlankChallenge or my post about vegan chili recipe?",You posted a recipe for vegan chili on Instagram using the hashtag #FoodieAdventures first.,,
gpt4_e414231e,temporal-reasoning,,How many days passed between the day I fixed my mountain bike and the day I decided to upgrade my road bike's pedals?,4 days. 5 days (including the last day) is also acceptable.,,
gpt4_7ca326fa,temporal-reasoning,,"Who graduated first, second and third among Emma, Rachel and Alex?","Emma graduated first, followed by Rachel and then Alex.",,
gpt4_7bc6cf22,temporal-reasoning,,How many days ago did I read the March 15th issue of The New Yorker?,12 days ago. 13 days (including the last day) is also acceptable.,,
2ebe6c92,temporal-reasoning,,Which book did I finish a week ago?,'The Nightingale' by Kristin Hannah,,
gpt4_e061b84g,temporal-reasoning,,I mentioned participating in a sports event two weeks ago. What was the event?,The company's annual charity soccer tournament.,,
71017277,temporal-reasoning,,I received a piece of jewelry last Saturday from whom?,my aunt,,
b46e15ee,temporal-reasoning,,What charity event did I participate in a month ago?,the 'Walk for Hunger' charity event,,
gpt4_d6585ce9,temporal-reasoning,,Who did I go with to the music event last Saturday?,my parents,,
gpt4_1e4a8aec,temporal-reasoning,,What gardening-related activity did I do two weeks ago?,planting 12 new tomato saplings,,
gpt4_f420262d,temporal-reasoning,,What was the airline that I flied with on Valentine's day?,American Airlines,,
gpt4_59149c78,temporal-reasoning,,I mentioned that I participated in an art-related event two weeks ago. Where was that event held at?,The Metropolitan Museum of Art.,,
gpt4_e414231f,temporal-reasoning,,Which bike did I fixed or serviced the past weekend?,road bike,,
gpt4_4929293b,temporal-reasoning,,What was the the life event of one of my relatives that I participated in a week ago?,my cousin's wedding,,
gpt4_468eb064,temporal-reasoning,,Who did I meet with during the lunch last Tuesday?,Emma,,
gpt4_fa19884d,temporal-reasoning,,What is the artist that I started to listen to last Friday?,a bluegrass band that features a banjo player,,
9a707b82,temporal-reasoning,,I mentioned cooking something for my friend a couple of days ago. What was it?,a chocolate cake,,
eac54add,temporal-reasoning,,What was the significant buisiness milestone I mentioned four weeks ago?,I signed a contract with my first client.,,
4dfccbf8,temporal-reasoning,,What did I do with Rachel on the Wednesday two months ago?,I started taking ukulele lessons with Rachel.,,
0bc8ad93,temporal-reasoning,,I mentioned visiting a museum two months ago. Did I visit with a friend or not?,"No, you did not visit with a friend.",,
6e984302,temporal-reasoning,,I mentioned an investment for a competition four weeks ago? What did I buy?,I got my own set of sculpting tools.,,
gpt4_8279ba03,temporal-reasoning,,What kitchen appliance did I buy 10 days ago?,a smoker,,
gpt4_b5700ca0,temporal-reasoning,,Where did I attend the religious activity last week?,the Episcopal Church,,
gpt4_68e94288,temporal-reasoning,,What was the social media activity I participated 5 days ago?,You participated in a social media challenge called #PlankChallenge.,,
